Ávila,4501771,356599,57744
Burgos,4687857,442361,175821
León,4719468,289411,124303
Palencia,4652764,373045,78412
Salamanca,4538475,275839,144228
Segovia,4533807,406015,51674
Soria,4624007,544330,39398
Valladolid,4612580,356065,298412
Zamora,4598301,270015,61406
